Company,Country,Product,Address,Phone_Number,Sajt
Yekta Tejarat Rayaneh(Ahwaz),Middle East,Graphics Card,"No 19, Grand Bazar, Taleghani Ave No 19, Grand Bazar, Taleghani Ave",+98-61 32238411,
4Launch B.V.,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Lodewijkstraat 46, Eindhoven",+31-0900-4528624,http://www.4launch.nl/
Aces Direct,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Rosa Castellanosstraat 1, 5032 MG Tilburg",+31-013 762 1800,https://www.acesdirect.nl/
Alternate,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Handelsweg 110, Ridderkerk",+31-180 44 08 44,https://www.alternate.nl/gigabyte
Azerty,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Kotterstraat 14, Raalte",+31-0 572 32 81 20,http://azerty.nl/
bol.com,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)",Papendorpseweg 100 3528 BJ Utrecht The Netherlands,+31-030 310 4999,https://www.bol.com/nl/b/gigabyte/4137262/
CCS,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Parkweg 99, Enschede",+31-053-4308390,http://www.ccservice.nl/
CDROMLAND,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Dijklaan 9, Breda",+31-76-5310020,http://www.cdromland.nl/
Centralpoint,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","an Heuven Goedhartlaan 121, 1181 KK Amstelveen",+31-088 430 0300,https://www.centralpoint.nl/
Compusell,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","F.B. Deurvorststraat 56, 7071 BK Ulft",+31-315-640203,http://www.compusell.nl/
Conrad,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)",Zutphenstraat 89c 7575 EJ Oldenzaal,+31-0900 - 0996,http://https//www.conrad.nl/
CoolBlue,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Weena 664, 3012 CN Rotterdam",+31-010 798 8999,https://www.coolblue.nl/
Cosema,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Uitingstraat 5, Kerkdriel",+31-6-15444491,http://www.cosema.nl/
DataByte,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Drukkerij 3, Steenbergen",+31-167 544 544,http://www.databyte.nl/
Gaming Totaal,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)",Hoevenweg 21 5652 AW Eindhoven,,http://www.gamingtotaal.nl/
HdV Computers,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Oosterstraat 91, Steenwijk",+31-521-522909,http://www.hdvcomputers.com/
Megekko,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Spinveld 8, 4815 HS Breda",,https://www.megekko.nl/
MMC,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Patrimoniumlaan 4, Veenendaal",+31-318-830220,https://mmcshop.nl/
Multi Media Center,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Woonboulevard 30 , Almelo",+31-54-6540999,http://www.multimediacenter.nl/
Next Deal,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Tromputte 9, 6269 BC Margraten",+31-043 851 9211,https://www.nextdeal.nl/
Paradigit,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Hooge Zijde 30, 5626 DC Eindhoven",,https://www.paradigit.nl/
PC-Compleet,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Van Coothplein 3, Breda",+31-76-5811207,http://www.pc-compleet.nl/
Redable,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)",oekeloseweg 9 7553 DK Hengelo,+31-085 760 88 16,https://www.redable.nl/
Salland Automatisering,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Praamstraat 3, Raalte",+31-0900-7255263,http://www.salland.eu/
SI computers,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Beurtschipperstraat 112, Hoogvliet",+31-0900 74 26 678,http://www.sicomputers.nl/
SWW Computer,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)","Stephensonstraat 8S, 2723 RN Zoetermeer",+31-079 343 5633,http://shop.sww.nl/
Update.nl,Netherlands,"Motherboard ,  Graphics Card ,  Mouse ,  Mini-PC Barebone (BRIX)",Handelsweg 30-32 9482 WE Tynaarlo,+31-0592- 375238,https://www.update.nl/nl/
Computer Lounge,New Zealand,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","68C Carbine Rd, Mt Wellington, Auckland",+64-09 3684818,http://www.computerlounge.co.nz/
DragonPC - Online,New Zealand,"Motherboard ,  Graphics Card ,  All-in-One PC ,  PC Barebone","376 Riccarton Road, Christchurch",+64-03-3418880,http://dragonpc.co.nz/
elive,New Zealand,"Motherboard ,  Graphics Card","6x Rosedale Rd, Albany, Auckland",+64-09 479 6622,http://www.elive.co.nz/
Playtech,New Zealand,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Unit 4, 35 William Pickering Drive Rosedale, Albany Auckland",+64-9-415-1020,http://www.playtech.co.nz/
Arabian Computers Company,Oman,"Graphics Card ,  Optical Device","P.O Box: 560, P.C. 117, Sultanate of Oman",+968-2-4792253,
EASE TEC(Karachi),Pakistan,"Motherboard ,  Graphics Card",office# WH-39 6th Floor Techno city Mall I.I Chundrigar Road Karachi,+92-21-34310497-8,http://www.easetec.com.pk/
EASE TEC(Islamabad),Pakistan,"Motherboard ,  Graphics Card","Office # A-2 Mezzanine Floor (NHSP) Fazal-e-Haq Road, Blue Area Islamabad.",,http://www.easetec.com.pk/
EASE TEC(Lahore),Pakistan,"Motherboard ,  Graphics Card","Suite# 80, 2nd Floor,Hafeez Centre, Gulberg-III, Lahore.",+92-42-35715788-89,http://www.easetec.com.pk/
ENTERPRISE INFORMATICA,Paraguay,"Motherboard ,  Graphics Card ,  LCD Display ,  Chassis",shopping Vendome – nivel 3 – Ciudad del Este – Paraguay,+595-595-61-509 104,http://www.enterpriseinformatica.com/loja1/
ALFERZA SOLUTIONS S.A.C.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",CAL. LORETO NRO. 650 INT. 303 PIURA,+51-073-309866,http://alferzasolutions.com/
AMP SOLUCIONES S.A.C.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",JR. AYACUCHO 472 - TRUJILLO,+51-044-227921,
BARDOTRONIX S.A.C,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Av. Coronel Mendoza 1945 Mercadillo Bolognesi Int. K420,+51-052-242476,http://www.bardotronix.com/
CLAN COMPUTER E.I.R.L.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Cal. 7 de Enero Nro. 535 Chiclayo,+51-074-239534,
COLD HARDWARE SERVIS E.I.R.L.,Peru,"Motherboard ,  Graphics Card",Cal. Octavio Muñoz Najar Nro. 221 Int. 120 (Dentro De Centro Comercial Nova Center) Arequipa,+51-054-225437,
COMPU & VISION PERU S.A.C,Peru,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)",Av. Garcilazo de la Vega 1249 TDA 123,+51-1-6231159,http://www.compuvisionperu.pe/
COMPUSERVER DEL SUR S.R.L,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Ca. Cruz Verde Nro. 359 CC El Carmen Int. 201 Cusco,+51-084-256319,
COMPUTER MOVIL E.I.R.L,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Ca. Cruz Verde Nro. 359 CC El Carmen Int. 03 Cusco,+51-084-506978,http://www.computermovil.com/
COMPUTER SHOP S.A.C,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Ca. Cruz Verde Nro. 359 CC El Carmen Int. 212 Cusco,+51-084-241978,
CORP. MEGA NEG. SYSTEM S.R.L.,,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Barrio Tupac Amaru Jr. Moquegua Nro. 757 Juliaca San Roman Puno,,
CORPORACION BURMES E.I.R.L.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Cal. San Jose Nro. 509 CHICLAYO,+51-074-234600,
CORPORACION MB SYSTEM SAC,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Cal. Alfonso Ugarte Nro. 721 CHICLAYO,+51-074-205204,
DISTRIBUCIONES SUR SYSTEM S.A.C.,,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Barrio Tupac Amaru Jr. Moquegua Nro. 754 Juliaca San Roman Puno,,
GRUPO COMSYTECH S.A.C,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Av. Coronel Mendoza 1945 Mercadillo Bolognesi Int. K419,+51-052-412299,
Grupo SKY SOLUTION,Peru,"Motherboard ,  Graphics Card",AV. Garcilazo de la vega 1251 . interior 167. Galeria Compuplaza,+51-1-623-1115,
HITACOM,Peru,"Motherboard ,  Graphics Card",Av. Garcilazo de la Vega Nº 1251 - Tda 125 - Galería Compuplaza,+51-1-425 -1500,http://www.hitacom.com/
IMPACTO,Peru,"Motherboard ,  Graphics Card",C.C Centro de Lima Av. Bolivia 148 tdas. 553 - 546 – 547 – 536,+51-1-425-1191,http://www.impacto.com.pe/
INVERSIONES LAK TRADING S.A.C.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",AV. ESPAÑA NRO. 150 INT. 405 (CUARTO PISO) TRUJILLO,+51-044-223233,
LIDER COMPUTER AQP S.R.L,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Cal. Octavio Muñoz Najar Nro. 223 Int. 140 (Dentro De Centro Comercial CC. COMPUPLAZA) Arequipa,+51-054-234852,
MC COMPUTER SOLUTION S.A.C.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",JR. INDEPENDENCIA NRO. 310 TRUJILLO,+51-044-294424,
NEPT COMPUTER S.R.L.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",JR. PIZARRO NRO. 201 TRUJILLO,+51-044-204083,
PCS MULTICOMP S.R.L.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Barrio Tupac Amaru Jr. Gonzales Prada Nro. 510 Juliaca San Roman Puno,+51-051-502145,
Peruana de informatica,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Cal. Octavio Muñoz Najar Nro. 223B Arequipa,+51-054-214563,http://www.peruanadeinformatica.com.pe/
RED HARDWARE SRL,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",AV. LORETO NRO. 654 INT. 02 (2DO PISO) PIURA,+51-073-320771,http://www.redhardware.com.pe/
SILSUR COMPUTER S.R.L.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Av. Coronel Mendoza 1945 Mercadillo Bolognesi Int. E330,+51-052-425180,
SISTEMAS CUSCO S.A.C,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Ca. Cruz Verde Nro. 359 CC El Carmen Int. 317 Cusco,+51-084-505545,
SYSTEM GROUP SRL,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Cal. Octavio Muñoz Najar Nro. 223 Int. 115 (Centro Comercial Compuplaza) Arequipa,+51-054-285749,http://www.systemgroupperu.com/es/
SYSTEMS INFORSUR S.R.L,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Barrio Tupac Amaru Jr. Moquegua Nro. 788 Juliaca San Roman Puno,950340217,
TECHNOLOGY CENTER - TEODORO PAXI P.,Peru,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Mini-PC Barebone (BRIX)",Av. Coronel Mendoza 1945 Mercadillo Bolognesi Int. K316,952693693,
AdTech Computer Sales And Services,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","San Miguel St., Poblacion, Iligan City San Miguel St., Poblacion, Iligan City",+63-222 1921,https://www.facebook.com/adtechcomputers/
Alopupuli Trading,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","1200 Batangas Street, Tondo Manila 1200 Batangas Street, Tondo Manila","+63-02-989-8338,02-252-6587",
"Blinque Computer Sales, Inc. (Davao)",Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","Door #2 Camfer Bldg. Bonfiacio St. Davao City, Philippines Door #2 Camfer Bldg. Bonfiacio St. Davao City, Philippines",+63-048-4348902,https://www.facebook.com/BlinqueDavao/
"Cebu Appliance Center, Inc.",Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","Osmena Blvd, Cebu City Osmena Blvd, Cebu City",+63-416-8377,https://www.facebook.com/cebuappliancecenter/
Chelsey Computer Sales Rental & Services,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","#352 F2 Building Magsaysay Avenue, Baguio City #352 F2 Building Magsaysay Avenue, Baguio City",+63-4420547,https://www.facebook.com/pages/Chelsey-Computer/375845122538196
Davao Futurebright Enterprises,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","168 5th A. Street, Ecoland Phase 1, Davao City 168 5th A. Street, Ecoland Phase 1, Davao City",+63-299-49-45,https://www.facebook.com/DFE168/
Dynaquest Pc Sales And Rental,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","1581 España corner Lacson Street Sampaloc, Manila 1581 España corner Lacson Street Sampaloc, Manila",+63-555-1258,http://dynaquestpc.com/
"Easypccomputing, Inc.",Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear",1802C Conception ST. Brgy. Valenzuela Makati City 1802C Conception ST. Brgy. Valenzuela Makati City,,https://www.facebook.com/easypc.ph/
Enigma Technologies Incorporated,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear",339 CMS Bldg. Mezzanie Flr. Mac Arthur Hiway Brgy Ninoy Aquino Angeles City 339 CMS Bldg. Mezzanie Flr. Mac Arthur Hiway Brgy Ninoy Aquino Angeles City,,https://www.enigma-phil.com.ph/
JDM Techno Computer Center,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","Unit 12 Aurora Garden Plaza, 692-694 Aurora Blvd., Valencia, Quezon City Unit 12 Aurora Garden Plaza, 692-694 Aurora Blvd., Valencia, Quezon City",,https://www.facebook.com/JDMTechnoComputer/
Lasortech Enterprises,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","E. Lopez St., Jaro, Iloilo CIty E. Lopez St., Jaro, Iloilo CIty",,https://www.facebook.com/lasortech.modz/
Mf Computer Solution,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","JTL Bldg., B.S. Aquino Drive, Bacolod City JTL Bldg., B.S. Aquino Drive, Bacolod City",,https://www.facebook.com/mfcomputersolution/
Nu Tech Marketing,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear",Sanciangko cor. Borromeo St. Cebu City Sanciangko cor. Borromeo St. Cebu City,+63-32 2560546,http://nutech.ph/
Pc Hub,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","692-694 Ground floor,Aurora Blvd., Gilmore Ave. Quezon City 692-694 Ground floor,Aurora Blvd., Gilmore Ave. Quezon City",+63-410-8483,https://www.facebook.com/pchub/
PC Options,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply",21 Gilmore Ave. New Manila Quezon City 21 Gilmore Ave. New Manila Quezon City,+63-722-5639,https://www.facebook.com/PCOptionsPH/?rf=179185055427169
PC Worx,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear",384B E. Rodriguez Sr. Ave. Quezon City 384B E. Rodriguez Sr. Ave. Quezon City,+63-410 7275,https://www.facebook.com/pcworx/
STGC TechnologiesComp.Parts&Peripherals,Philippines,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Headset ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear","GB-17 888 Chinatown Square, Cor. Cottage Road Gatuslao St., Bacolod City GB-17 888 Chinatown Square, Cor. Cottage Road Gatuslao St., Bacolod City",,https://www.facebook.com/strategic.technologies/
BINA-MJ SALON KOMPUTEROWY BHM,Poland,"Motherboard ,  Graphics Card ,  Density Optimized",519135995,item.fax,http://www.bhm.pl/
JK KOMPUTER Jacek Konarzewski,Poland,"Motherboard ,  Graphics Card ,  All-in-One Barebone ,  TV Tuner Dongle ,  Chassis ,  Power Supply ,  TV Tuner Card",Rumia,+48 58 6714757,
Kaleron,Poland,"Motherboard ,  Graphics Card ,  All-in-One Barebone ,  TV Tuner Dongle ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear ,  TV Tuner Card ,  Tower Server ,  High Performance Computing System ,  ARM Server",Jelcz-Laskowice,+48713183436,http://kaleron.com.pl/
"MACBIT Grajoszek, Fryszka Sp. Jawna",Poland,"Motherboard ,  Graphics Card",Starogard Gdański,058 562-24-19,http://macbit.com.pl/
Scientific Solutions Systems,Poland,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Power Supply ,  Tower Server",Poznań,+48 507 987 844,http://www.sssystems.pl/
SET up SYSTEM (DirectPC.pl),Poland,"Motherboard ,  Graphics Card ,  TV Tuner Dongle ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear ,  TV Tuner Card ,  Tower Server ,  High Performance Computing System ,  ARM Server",Warszawa,+48 22 628 82 82,http://directpc.pl/
SFERIS,Poland,"Motherboard ,  Graphics Card ,  Chassis ,  Power Supply ,  High Performance Computing System",Bielsko-Biała,+48338161215,http://www.sferis.pl/
weraCOMP.pl,Poland,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  High Performance Computing System ,  Density Optimized",Dzierżoniów,+48746606582,http://www.weracomp.pl/
AlienTech,Portugal,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server","Rua da Torrinha, 194 4050-610 Aveiro Porto",+351 222 025 270,http://www.alientech.pt/
"Assismática - Equipamentos Informáticos, Lda.",Portugal,"Motherboard ,  Graphics Card","Av. Marechal Craveiro Lopes, 8E - R/C Esq 1700-284 Lisboa Lisboa",+351 217 510 210,http://www.assismatica.pt/
BF Informática lda,Portugal,"Motherboard ,  Graphics Card",Estrada de Mem Martins 196 Loja 2725-391 Lisboa Lisboa,+351 219 201 188,http://www.bfinformatica.pt/
Clickfiel Informática Lda,Portugal,"Motherboard ,  Graphics Card","R. António Ferreira Gomes, Loja 50-A 4560-568 Lisboa Aveiro",+351 255 215 472,http://www.clickfiel.pt/
Globaldata,Portugal,"Motherboard ,  Graphics Card","Av. Afonso Costa, Lote 25/26 Loja B 1900-032 Lisboa Lisboa",+351 218 414 190,http://www.globaldata.pt/
"grumiTEK, Lda.",Portugal,"Motherboard ,  Graphics Card","Rua Dr. Eduardo Vaz, 9A 4520-224 Aveiro Porto",+351 256 378 505,http://www.grumitek.com/
InterMédia Informática Lda.,Portugal,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server","R. D. Ernesto Sena de Oliveira, lote 1, 3-D 3030-378 Aveiro Lisboa",+3 512 39703577,http://www.intermedia.pt/
NIPOSOM,Portugal,"Motherboard ,  Graphics Card ,  Laptop","Rua Dr. Mário Sacramento, 141 3810-106 Aveiro Aveiro",+3 512 234383883,http://www.niposom.com/
NIPOSOM,Portugal,"Motherboard ,  Graphics Card ,  Laptop","Praceta Dr. Manuel Pires Bento, Lote 14 - S/c. 6000-123 Castelo Branco Castelo Branco",+3 512 272085949,http://www.niposom.com/
Oficina do Computador,Portugal,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server","Rua da Margem, 13D 1900-325 Lisboa Lisboa",+351 21 8685140,http://www.oficinadocomputador.org/
OSG - Old School Geeks,Portugal,"Motherboard ,  Graphics Card ,  Tower Server ,  ARM Server",Av. Vasco da Gama 4470-383 Aveiro Aveiro,+351 220 995 961,http://www.osg.pt/
Pc Touch You - Carlos Manuel Martins Vieira,Portugal,"Motherboard ,  Graphics Card ,  Laptop ,  Tablet ,  Keyboard ,  Mouse ,  High Performance Computing System ,  Density Optimized",Avenida dos descobrimentos nº1022 3700-766 Aveiro,00351 256392377,http://www.pctouchyou.pt/
"PCDig@, Lda",Portugal,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server",Rua Pedro e Inês. Lt.2.06.01 LJ.A Lisboa 1990-074 Lisboa Lisboa,+351 218 941 157,http://www.pcdiga.com/
"Web & Gamble, Lda.",Portugal,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server","Rua Dr. João de Barros, nº12A, Mercês 2725-486 Lisboa Lisboa",+351 219 169 123,http://www.web-gamble.pt/
Year2K Lda - Comércio Equipamento Informático Lda,Portugal,"Motherboard ,  Graphics Card",Alameda Guerra Junqueiro nº 26 B 2810-071 Lisboa Lisboa,+351 212 509 108,http://www.infosom.net/
PlusOne Solution Computers(Doha),Qatar,Graphics Card,"Sofitel Complex,Shop No:22",+974-44356033,
"""Группа компаний ""РосИнтеграция""",Russia,"Motherboard ,  Graphics Card ,  All-in-One Barebone ,  TV Tuner Dongle ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear ,  TV Tuner Card ,  Tower Server ,  High Performance Computing System ,  ARM Server","Новосибирская область, Новосибирск, Депутатская, 2- офис 8а",88003339199,http://www.rosintegracija.ru/
05.РУ,Russia,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server","Дагестан, Махачкала, ул. М. Гаджиева, д.27",+7 8722 515151,http://05.ru/
5.25 магазин цифровой техники (ИП Кильдюшов В.А.),Russia,"Motherboard ,  Graphics Card","Астраханская область, Астрахань, ул.Минусинская, д.8",+7 8512 309990,http://www.5-25.ru/
AЦ ПартнерКом,Russia,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server","Забайкальский край, Чита, ул.Малая, д.3, стр.1, ТЦ Бриджстоун",+7 3022 314706,
CompKMV,Russia,"Motherboard ,  Graphics Card ,  TV Tuner Dongle ,  Chassis ,  Power Supply ,  TV Tuner Card","Ставропольский край, Минеральные Воды, ул. 50 Лет Октября, д.67А",+7 928 2662296,http://www.compkmv.ru/
Delta Game,Russia,"Motherboard ,  Graphics Card","Московская область, Москва, Багратионовский проезд 7",7(495) 585-54-00,http://delta-game.ru/
digitWorld,Russia,"Motherboard ,  Graphics Card","Ростовская область, 344007, г. Ростов-на-Дону, пер. Соборный, д. 24, оф. 302",+7 863 2990104,http://www.digitworld.su/
EURO COMPUTERS,Russia,"Motherboard ,  Graphics Card ,  Thermal Solution","Ивановская область, Иваново, УЛ.ЛЕНИНА Д.18",,http://www.eurocomputers.by.ru/
Formoza,Russia,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server ,  ARM Server","Челябинская область, Челябинск, пр.Ленина,77",+7 351 7751624,http://formoza74.ru/
Imango Невинномысск,Russia,"Motherboard ,  Graphics Card","Ставропольский край, Невинномысск, ул.Гагарина 63 оф.415",+7 86554 56325,
Insait,Russia,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server ,  ARM Server","Амурская область, г.Шимановск, ул.Крупской 12",+7 41651 21370,
Intersell,Russia,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server ,  High Performance Computing System ,  ARM Server","Московская область, Химки, м-р Новоподрезково, ул. Железнодорожная, владение 27",+7 495 2292815,http://intersell.ru/
KrasMarkt,Russia,"Motherboard ,  Graphics Card","Красноярский край, Красноярск, пр. мира 37 Д",item.fax,http://www.krasmarkt.ru/
Logic Systems MSK,Russia,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Москва, ул.Космонавта Волкова, д.31",+7 495 9332371,http://www.ls-comp.ru/
Meijin,Russia,"Motherboard ,  Graphics Card ,  Chassis","Москва, ул. Руставели, 1",+7 495 7271222,http://www.meijin.ru/
MLTRADE,Russia,"Motherboard ,  Graphics Card","Свердловская область, Екатеринбург, ул. Турбинная 7",+7 343 3820351,http://www.mltrade.ru/
OLDI,Russia,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse","Москва, Семеновская набережная 3/1 к. 4",8(495) 967-15-55,http://www.oldi.ru/howbuy/storehouse/el/
OLDI,Russia,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse","Москва, ул. Перерва, 41",8(495) 221-11-11,http://www.oldi.ru/howbuy/storehouse/brat/
